Vocaloid Motion Data 0002
SLB200LTD
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
102,左人指IK,-0.5319185,-0.2196265,0.07511418,0,0,29.794,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,左中指IK,-0.593715,-0.2531205,-0.0341387,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,左薬指IK,-0.5897247,-0.2144988,-0.04653662,0,0,18.908,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,左小指IK,-0.3883699,-0.07612597,-0.04934349,0,0,19.481,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,左親指IK,-0.0596558,-0.1505313,0.3300552,8.581,15.688,15.049,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,左掌IK,-7.82E-08,1.12E-08,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,楽器指板,8.15E-09,0.6,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左操作,-4.414258,-3.019586,0.3959374,67.436,168.938,94.979,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左人指IK,-0.5319185,-0.2196265,0.07511418,0,0,29.794,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左中指IK,-0.593715,-0.2531205,-0.0341387,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左薬指IK,-0.5897247,-0.2144988,-0.04653662,0,0,18.908,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左小指IK,-0.3883699,-0.07612597,-0.04934349,0,0,19.481,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左親指IK,-0.0596558,-0.1505313,0.3300552,8.581,15.688,15.049,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,左掌IK,-7.82E-08,1.12E-08,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,楽器指板,8.15E-09,0.6,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左人指IK,-0.5427893,-0.2381108,0.08294481,0,0,1.719,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左中指IK,-0.603869,-0.2131831,0.01058146,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左薬指IK,-0.6318626,-0.1553339,0.03279034,0,0,25.783,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左小指IK,-0.4363044,-0.02182771,0.0387947,0,0,22.345,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左操作,-4.533605,-3.002037,0.5069415,67.071,157.136,93.798,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,楽器指板,7.45E-09,0.55,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左親指IK,-0.01019933,-0.2022458,0.2271375,6.526,4.719,3.289,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,左掌IK,-7.82E-08,1.12E-08,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
119,左人指IK,-0.5427893,-0.2381108,0.08294481,0,0,1.719,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
